Site_ID,Variable,Start_Date,Height,Instrument_Model,Instrument_Model2,Comment,BASE_Version
AR-CCg,CO2_MIXING_RATIO,20180101,4.55,GA_OP-LI-COR LI-7500,,,5-5
AR-CCg,CO2_SIGMA,20180101,4.55,GA_OP-LI-COR LI-7500,,,5-5
AR-CCg,FC,20180101,4.55,GA_OP-LI-COR LI-7500,SA-Campbell CSAT-3,,5-5
AR-CCg,FETCH_70,20180101,4.55,SA-Campbell CSAT-3,,,5-5
AR-CCg,FETCH_80,20180101,4.55,SA-Campbell CSAT-3,,,5-5
AR-CCg,FETCH_90,20180101,4.55,SA-Campbell CSAT-3,,,5-5
AR-CCg,FETCH_MAX,,4.55,SA-Campbell CSAT-3,,,5-5
AR-CCg,H,,4.55,SA-Campbell CSAT-3,,,5-5
AR-CCg,H2O,20180101,4.55,GA_OP-LI-COR LI-7500,,,5-5
AR-CCg,H2O_MIXING_RATIO,20180101,4.55,GA_OP-LI-COR LI-7500,,,5-5
AR-CCg,H2O_SIGMA,20180101,4.55,GA_OP-LI-COR LI-7500,,,5-5
AR-CCg,LE,20180101,4.55,GA_OP-LI-COR LI-7500,SA-Campbell CSAT-3,,5-5
AR-CCg,MO_LENGTH,20180101,4.55,SA-Campbell CSAT-3,,,5-5
AR-CCg,PA,20180101,4.5,GA_OP-LI-COR LI-7500,,from eddy pro,5-5
AR-CCg,PPFD_IN,20180101,1.5,RAD-Other,,,5-5
AR-CCg,RH,20180101,4.5,GA_OP-LI-COR LI-7500,,from eddy pro,5-5
AR-CCg,TA,20180101,4.5,SA-Campbell CSAT-3,,,5-5
AR-CCg,TAU,20180101,4.55,SA-Campbell CSAT-3,,,5-5
AR-CCg,T_SONIC,20180101,4.55,SA-Campbell CSAT-3,,,5-5
AR-CCg,T_SONIC_SIGMA,20180101,4.55,SA-Campbell CSAT-3,,,5-5
AR-CCg,U_SIGMA,20180101,4.55,SA-Campbell CSAT-3,,,5-5
AR-CCg,USTAR,20180101,4.55,SA-Campbell CSAT-3,,,5-5
AR-CCg,VPD_PI,20180101,4.55,,,Calculated from eddy pro,5-5
AR-CCg,V_SIGMA,20180101,4.55,SA-Campbell CSAT-3,,,5-5
AR-CCg,WD,20180101,4.55,SA-Campbell CSAT-3,,,5-5
AR-CCg,WS,20180101,4.55,SA-Campbell CSAT-3,,,5-5
AR-CCg,W_SIGMA,20180101,4.55,SA-Campbell CSAT-3,,,5-5
AR-CCg,WS_MAX,20180101,4.55,SA-Campbell CSAT-3,,,5-5
AR-CCg,ZL,20180101,4.55,SA-Campbell CSAT-3,,,5-5
AR-Cel,CO2,201804,2.9,GA_OP-LI-COR LI-7500A,,,1-5
AR-Cel,CO2_SIGMA,201804,2.9,GA_OP-LI-COR LI-7500A,,Please complete,1-5
AR-Cel,FC,201804,2.9,GA_OP-LI-COR LI-7500A,SA-Young 81000,,1-5
AR-Cel,FC_SSITC_TEST,201804,2.9,GA_OP-LI-COR LI-7500A,,,1-5
AR-Cel,G_1_1_1,201804,-0.1,SOIL_H-Plate,,Please complete,1-5
AR-Cel,G_2_1_1,201804,-0.1,SOIL_H-Plate,,Please complete,1-5
AR-Cel,H,201804,2.9,GA_OP-LI-COR LI-7500A,,,1-5
