SITE_ID,LAT,LON,texture_code,soil_texture,porosity,clay_fraction,sand_fraction,silt_fraction
US-Ha1,42.5378,-72.1715,3.0,sandy loam,0.38600000739097600,0.05000000074505810,0.7799999713897710,0.17000000178813900
US-IB2,41.8406200,-88.2410300,4.0,silt loam,0.44699999690055800,0.25,0.3400000035762790,0.4099999964237210
US-Ivo,68.4865,-155.7503,6.0,loam,0.43700000643730200,0.1899999976158140,0.4566666781902310,0.3566666841506960
US-KS1,28.4583,-80.6709,1.0,sand,,,,
US-KS2,28.6086,-80.6715,,,,,,
US-LWW,34.9604,-97.9789,6.0,loam,0.43700000643730200,0.20333333313465100,0.38333332538604700,0.41333332657814000
US-Lin,36.35660,-119.84230,3.0,sandy loam,0.43700000643730200,0.226666659116745,0.4166666865348820,0.3566666841506960
US-Los,46.0827,-89.9792,3.0,sandy loam,0.4189999997615810,0.10444444417953500,0.6399999856948850,0.2477777898311620
US-MMS,39.3232,-86.4131,4.0,silt loam,0.44699999690055800,0.21222221851348900,0.4300000071525570,0.35777777433395400
US-Me1,44.5794,-121.5000,6.0,loam,0.4189999997615810,0.15000000596046400,0.6700000166893010,0.18000000715255700
US-Me2,44.4523,-121.5574,3.0,sandy loam,0.4189999997615810,0.1599999964237210,0.6033332943916320,0.23666666448116300
US-Me3,44.3154,-121.6078,3.0,sandy loam,0.4189999997615810,0.1599999964237210,0.6033332943916320,0.23666666448116300
US-Me4,44.4992,-121.6224,3.0,sandy loam,0.4189999997615810,0.1599999964237210,0.6033332943916320,0.23666666448116300
US-Me5,44.4371900,-121.5667600,3.0,sandy loam,0.4189999997615810,0.1599999964237210,0.6033332943916320,0.23666666448116300
US-Me6,44.3232842,-121.6078,3.0,sandy loam,0.4189999997615810,0.1599999964237210,0.6033332943916320,0.23666666448116300
US-Myb,38.049782,-121.76506,12.0,clay,0.44699999690055800,0.2224999964237210,0.48750001192092900,0.28999999165535000
US-NR1,40.0329,-105.5464,3.0,sandy loam,0.43700000643730200,0.17000000178813900,0.4699999988079070,0.3700000047683720
US-Ne1,41.1650600,-96.4766400,8.0,silty clay loam,0.44699999690055800,0.25999999046325700,0.3499999940395360,0.38999998569488500
US-Ne2,41.1648700,-96.4701,8.0,silty clay loam,0.44699999690055800,0.25999999046325700,0.3499999940395360,0.38999998569488500
US-Ne3,41.1796700,-96.4396500,8.0,silty clay loam,0.44699999690055800,0.25999999046325700,0.3499999940395360,0.38999998569488500
US-ORv,40.0201,-83.0183,4.0,silt loam,0.44699999690055800,0.2199999988079070,0.4000000059604650,0.3799999952316280
US-Oho,41.5545,-83.8438,12.0,clay,0.41200000047683700,0.17777778208255800,0.6133333444595340,0.20888888835907000
US-PFa,45.9459,-90.2723,4.0,silt loam,0.4189999997615810,0.11999999731779100,0.6000000238418580,0.27000001072883600
US-Prr,65.12367,-147.48756,6.0,loam,0.43700000643730200,0.2011111080646520,0.4344444274902340,0.35555556416511500
US-SRC,31.9083,-110.8395,6.0,loam,0.43700000643730200,0.2177777886390690,0.4633333086967470,0.3266666829586030
US-SRG,31.789379,-110.827675,6.0,loam,0.43700000643730200,0.2177777886390690,0.4633333086967470,0.3266666829586030
US-SRM,31.8214,-110.8661,6.0,loam,0.43700000643730200,0.2177777886390690,0.4633333086967470,0.3266666829586030
US-Sta,41.3966,-106.8024,3.0,sandy loam,0.41200000047683700,0.22333334386348700,0.5055555701255800,0.27222222089767500
US-Syv,46.2420,-89.3477,3.0,sandy loam,0.4189999997615810,0.09666667133569720,0.6600000262260440,0.23666666448116300
US-Ton,38.4316,-120.96598,4.0,silt loam,0.44699999690055800,0.23333333432674400,0.5233333110809330,0.2433333396911620
US-Tw1,38.1074,-121.6469,13.0,organic materials,0.43700000643730200,0.21888889372348800,0.45222222805023200,0.3288888931274410
US-Tw2,38.1047,-121.6433,13.0,organic materials,0.43700000643730200,0.21888889372348800,0.45222222805023200,0.3288888931274410
US-Tw3,38.1159,-121.6467,13.0,organic materials,0.43700000643730200,0.21888889372348800,0.45222222805023200,0.3288888931274410
US-Tw4,38.10298,-121.6414,13.0,organic materials,0.43700000643730200,0.21888889372348800,0.45222222805023200,0.3288888931274410
US-Twt,38.1087204,-121.65310,13.0,organic materials,0.43700000643730200,0.21888889372348800,0.45222222805023200,0.3288888931274410
US-UMB,45.5598,-84.7138,1.0,sand,0.4189999997615810,0.06857142597436910,0.699999988079071,0.23142856359481800
US-UMd,45.5625,-84.6975,1.0,sand,0.4189999997615810,0.06857142597436910,0.699999988079071,0.23142856359481800
US-Var,38.4133,-120.9507,4.0,silt loam,0.44699999690055800,0.23333333432674400,0.5233333110809330,0.2433333396911620
US-WCr,45.8059,-90.0799,2.0,loamy sand,0.4189999997615810,0.11999999731779100,0.6000000238418580,0.27000001072883600
US-WPT,41.464639,-82.996157,3.0,sandy loam,0.44699999690055800,0.23333333432674400,0.47999998927116400,0.2866666615009310
US-Whs,31.7438,-110.0522,6.0,loam,0.43700000643730200,0.22111110389232600,0.45222222805023200,0.3355555832386020
US-Wi0,46.6187780,-91.0814440,2.0,loamy sand,0.38600000739097600,0.07444444298744200,0.708888828754425,0.21666665375232700
US-Wi1,46.7304720,-91.2329440,2.0,loamy sand,0.38600000739097600,0.07444444298744200,0.708888828754425,0.21666665375232700
US-Wi2,46.6868890,-91.1528330,2.0,loamy sand,0.38600000739097600,0.07444444298744200,0.708888828754425,0.21666665375232700
US-Wi3,46.6347220,-91.0986670,2.0,loamy sand,0.38600000739097600,0.07444444298744200,0.708888828754425,0.21666665375232700
US-Wi4,46.7393330,-91.1662500,2.0,loamy sand,0.38600000739097600,0.07444444298744200,0.708888828754425,0.21666665375232700
US-Wi5,46.6530830,-91.0858060,2.0,loamy sand,0.38600000739097600,0.07444444298744200,0.708888828754425,0.21666665375232700
US-Wi6,46.6248890,-91.2982220,2.0,loamy sand,0.43700000643730200,0.1388888955116270,0.5266667008399960,0.33222222328186000
US-Wi7,46.6491110,-91.0692780,2.0,loamy sand,0.38600000739097600,0.07444444298744200,0.708888828754425,0.21666665375232700
US-Wi8,46.7223330,-91.2524170,2.0,loamy sand,0.43700000643730200,0.1388888955116270,0.5266667008399960,0.33222222328186000
US-Wi9,46.6187780,-91.0814440,2.0,loamy sand,0.38600000739097600,0.07444444298744200,0.708888828754425,0.21666665375232700
US-Wkg,31.7365,-109.9419,6.0,loam,0.44699999690055800,0.23000000417232500,0.4699999988079070,0.30000001192092900
ZA-Kru,-25.0197,31.4969,7.0,sandy clay loam,0.41200000047683700,0.20000000298023200,0.5600000023841860,0.23999999463558200
ZM-Mon,-15.4391,23.2525,2.0,loamy sand,0.38600000739097600,0.07999999821186070,0.8199999928474430,0.10000000149011600
